dundasChartControl1_DRG_DataRowGrouping1_label,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_label,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_Value_X,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_Value_Y
1 vko,syyskuu,09/01/2023 00:00:00,3.642
1 vko,syyskuu,09/04/2023 00:00:00,3.636
1 vko,syyskuu,09/05/2023 00:00:00,3.622
1 vko,syyskuu,09/06/2023 00:00:00,3.628
1 vko,syyskuu,09/07/2023 00:00:00,3.645
1 vko,syyskuu,09/08/2023 00:00:00,3.659
1 vko,syyskuu,09/11/2023 00:00:00,3.639
1 vko,syyskuu,09/12/2023 00:00:00,3.632
1 vko,syyskuu,09/13/2023 00:00:00,3.651
1 vko,syyskuu,09/14/2023 00:00:00,3.674
1 vko,syyskuu,09/15/2023 00:00:00,3.69
1 vko,syyskuu,09/18/2023 00:00:00,3.715
1 vko,syyskuu,09/19/2023 00:00:00,3.777
1 vko,syyskuu,09/20/2023 00:00:00,3.878
1 vko,syyskuu,09/21/2023 00:00:00,3.895
1 vko,syyskuu,09/22/2023 00:00:00,3.875
1 vko,syyskuu,09/25/2023 00:00:00,3.883
1 vko,syyskuu,09/26/2023 00:00:00,3.882
1 vko,syyskuu,09/27/2023 00:00:00,3.881
1 vko,syyskuu,09/28/2023 00:00:00,3.892
1 vko,syyskuu,09/29/2023 00:00:00,3.872
1 vko,lokakuu,10/02/2023 00:00:00,3.858
1 vko,lokakuu,10/03/2023 00:00:00,3.889
1 vko,lokakuu,10/04/2023 00:00:00,3.885
1 vko,lokakuu,10/05/2023 00:00:00,3.885
1 vko,lokakuu,10/06/2023 00:00:00,3.898
1 vko,lokakuu,10/09/2023 00:00:00,3.896
1 vko,lokakuu,10/10/2023 00:00:00,3.878
1 vko,lokakuu,10/11/2023 00:00:00,3.897
1 vko,lokakuu,10/12/2023 00:00:00,3.882
1 vko,lokakuu,10/13/2023 00:00:00,3.874
1 vko,lokakuu,10/16/2023 00:00:00,3.862
1 vko,lokakuu,10/17/2023 00:00:00,3.876
1 vko,lokakuu,10/18/2023 00:00:00,3.891
1 vko,lokakuu,10/19/2023 00:00:00,3.879
1 vko,lokakuu,10/20/2023 00:00:00,3.89
1 vko,lokakuu,10/23/2023 00:00:00,3.883
1 vko,lokakuu,10/24/2023 00:00:00,3.88
1 vko,lokakuu,10/25/2023 00:00:00,3.875
1 vko,lokakuu,10/26/2023 00:00:00,3.881
1 vko,lokakuu,10/27/2023 00:00:00,3.872
1 vko,lokakuu,10/30/2023 00:00:00,3.883
1 vko,lokakuu,10/31/2023 00:00:00,3.887
1 vko,marraskuu,11/01/2023 00:00:00,3.868
1 vko,marraskuu,11/02/2023 00:00:00,3.885
1 vko,marraskuu,11/03/2023 00:00:00,3.887
